@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric

@data

merged_dataset_part2,1,10,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17851,3,0,99.983197,0.016803,0,0.995756,0.000064,0.006927,0.567402,9.205064,3122.084028,1098.176225,2023.907803,0.174867,0.061509,0.113359,3098.387573,0.17354,99.241005,0.995305,212,0,0,1,17641,0.004695,1,1,0.995305,0.997647,0.997622,0.999819,0.99594,0.999832,0.005459,0.994541,0.000168,0.999833,0.999832,0.999823,0.995728,0.99965,0.999829,0.950908,0.999832,0.365,0.009,0.328125,0,328.125,0,1031883,12548959,1550664,99.983197,14.285714,?,4723
merged_dataset_part3,1,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160688,17855,17854,1,0,99.994399,0.005601,0,0.998525,0.00002,0.004,0.1814,5.427538,3052.118316,1074.335039,1977.783278,0.170939,0.06017,0.110769,3043.812203,0.170474,99.727857,1,181,0,0,1,17674,0,0,1,1,1,1,1,1,0.999944,0.002851,0.997149,0.000056,0.999944,0.999944,0.999944,0.998517,0.998434,0.999884,0.998997,0.999944,0.431,0.007,0.34375,0.015625,343.75,15.625,1041673,12550325,1552184,99.994399,14.285714,?,4764
merged_dataset_part3,1,2,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160688,17855,17855,0,0,100,0,0,1,0.000003,0.000024,0.031972,0.032617,3052.118316,0.313348,3051.804968,0.170939,0.000018,0.170922,3051.804968,0.170922,99.989733,1,181,0,0,1,17674,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.328,0.007,0.328125,0.015625,328.125,15.625,1041673,12550325,1552184,100,14.285714,?,4764
merged_dataset_part3,1,3,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160688,17855,17853,2,0,99.988799,0.011201,0,0.997046,0.000033,0.004445,0.304527,6.031303,3052.125809,6.347348,3045.778461,0.17094,0.000355,0.170584,3045.778461,0.170584,99.792035,1,181,0,0,1,17674,0,0,1,1,1,1,1,1,0.999888,0.005702,0.994298,0.000112,0.999888,0.999888,0.999879,0.997028,1,1,0.976182,0.999888,0.721,0.009,0.515625,0.015625,515.625,15.625,1079465,12550325,1552184,100,14.288915,?,4764
merged_dataset_part3,1,4,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,160689,17854,17854,0,0,100,0,0,1,0.000007,0.000033,0.065705,0.044231,3041.657279,0.643108,3041.014171,0.170363,0.000036,0.170327,3041.014171,0.170327,99.978857,1,181,0,0,1,17673,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.34,0.009,0.328125,0.015625,328.125,15.625,1041698,12550402,1552107,100,14.285714,?,4764
merged_dataset_part3,1,5,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0939,160689,17854,17851,3,0,99.983197,0.016803,0,0.995549,0.000045,0.005968,0.418586,8.108263,3041.657279,19.527035,3022.130244,0.170363,0.001094,0.169269,3029.051192,0.169657,99.585552,0.994475,180,0,0,1,17673,0.005525,1,1,0.994475,0.99723,0.997206,0.9998,0.99516,0.999832,0.008578,0.991422,0.000168,0.999832,0.999832,0.999823,0.995529,0.999894,0.999947,0.975783,0.999832,0.326,0.009,0.328125,0,328.125,0,1041608,12550402,1552107,99.994399,14.288915,?,4764
merged_dataset_part3,1,6,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0939,160689,17854,17854,0,0,100,0,0,1,0.000005,0.000029,0.049257,0.038926,3044.154137,0.482121,3043.672016,0.170503,0.000027,0.170476,3043.672016,0.170476,99.984162,1,181,0,0,1,17673,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.325,0.009,0.328125,0.015625,328.125,15.625,1041673,12550402,1552107,100,14.285714,?,4764
merged_dataset_part3,1,7,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0939,160689,17854,17854,0,0,100,0,0,1,0.000009,0.000108,0.08093,0.146957,3050.748228,0.793609,3049.954619,0.170872,0.000044,0.170828,3049.954619,0.170828,99.973986,1,182,0,0,1,17672,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.341,0.009,0.3125,0.015625,312.5,15.625,1041673,12550402,1552107,100,14.285714,?,4764
merged_dataset_part3,1,8,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0939,160689,17854,17854,0,0,100,0,0,1,0.000004,0.000024,0.03309,0.033238,3050.748228,0.32429,3050.423938,0.170872,0.000018,0.170854,3050.423938,0.170854,99.98937,1,182,0,0,1,17672,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.331,0.009,0.328125,0,328.125,0,1041698,12550402,1552107,100,14.285714,?,4764
merged_dataset_part3,1,9,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0939,160689,17854,17854,0,0,100,0,0,1,0.000004,0.000025,0.033445,0.033434,3052.090219,0.327776,3051.762443,0.170947,0.000018,0.170929,3051.762443,0.170929,99.989261,1,181,0,0,1,17673,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.343,0.009,0.3125,0,312.5,0,1041698,12550402,1552107,100,14.285714,?,4764
